nflId,displayName,pos,team,TPOE_rank,TPOE,TOE_rank,TOE,MTPOE_rank,MTPOE,MTOE_rank,MTOE,Average Tackle Rank,Average Missed Tackle Rank,Average Rank,Overall Tackle Rank,Percentile
53487,Nick Bolton,ILB,KC,43,0.033,22,11.6,5,-0.02,2,-6.9,32.50,3.50,18.00,1,
52411,Jeff Okudah,CB,DET,29,0.038,15,13.3,25,-0.017,4,-5.8,22.00,14.50,18.25,2,
38577,Bobby Wagner,ILB,LA,44,0.032,24,11.4,21,-0.018,3,-6.6,34.00,12.00,23.00,3,
52515,Akeem Davis-Gaither,OLB,CIN,1,0.087,34,9.7,1,-0.023,112,-2.5,17.50,56.50,37.00,4,
47947,E.J. Speed,OLB,IND,2,0.083,30,10.6,13,-0.019,126,-2.4,16.00,69.50,42.75,5,
52624,Kamren Curl,SS,WAS,92,0.019,64,5.6,23,-0.017,9,-5.1,78.00,16.00,47.00,6,
52991,Myles Bryant,CB,NE,38,0.034,55,6.5,35,-0.016,75,-3.1,46.50,55.00,50.75,7,
47872,Bobby Okereke,ILB,IND,35,0.035,19,11.9,125,-0.011,32,-3.9,27.00,78.50,52.75,8,
47863,Sione Takitaki,OLB,CLE,60,0.027,63,5.6,37,-0.016,54,-3.4,61.50,45.50,53.50,9,
46757,Charvarius Ward,CB,SF,103,0.017,83,4.6,28,-0.017,17,-4.7,93.00,22.50,57.75,10,
43353,Kevin Byard,FS,TEN,51,0.029,31,10.3,139,-0.011,25,-4.1,41.00,82.00,61.50,11,
46212,Ja'Whaun Bentley,ILB,NE,112,0.016,80,4.7,29,-0.017,15,-4.9,96.00,22.00,59.00,12,
47793,Devin Bush,ILB,PIT,96,0.018,77,4.8,52,-0.015,27,-4,86.50,39.50,63.00,13,
47871,Cody Barton,MLB,SEA,83,0.021,54,6.5,88,-0.013,37,-3.8,68.50,62.50,65.50,14,
47867,Khalen Saunders,DT,KC,4,0.074,36,9.3,66,-0.014,179,-1.8,20.00,122.50,71.25,15,
52415,Derrick Brown,DE,CAR,34,0.036,26,11.1,157,-0.01,76,-3.1,30.00,116.50,73.25,16,
44888,Alex Anzalone,ILB,DET,90,0.019,50,6.8,134,-0.011,31,-4,70.00,82.50,76.25,17,
47956,Cole Holcomb,ILB,WAS,5,0.073,2,21.1,179,-0.009,114,-2.5,3.50,146.50,75.00,18,
44837,Jabrill Peppers,SS,NE,22,0.042,60,6,70,-0.014,148,-2.1,41.00,109.00,75.00,19,
42427,Jordan Hicks,ILB,MIN,11,0.056,3,19.4,221,-0.008,88,-2.9,7.00,154.50,80.75,20,
46278,Cornell Armstrong,CB,ATL,59,0.027,92,4.2,40,-0.016,128,-2.4,75.50,84.00,79.75,21,
46091,Rashaan Evans,ILB,ATL,58,0.027,17,12.3,215,-0.008,44,-3.6,37.50,129.50,83.50,22,
52453,Antoine Winfield,FS,TB,139,0.012,106,3.7,65,-0.014,20,-4.3,122.50,42.50,82.50,23,
46086,Derwin James,FS,LAC,16,0.047,9,16.7,216,-0.008,99,-2.8,12.50,157.50,85.00,24,
52473,Logan Wilson,ILB,CIN,158,0.009,125,3,50,-0.015,8,-5.2,141.50,29.00,85.25,25,
41483,Terrance Mitchell,CB,TEN,78,0.021,130,2.9,20,-0.018,120,-2.5,104.00,70.00,87.00,26,
49410,Jalen Thompson,FS,ARI,156,0.009,101,3.9,84,-0.013,5,-5.5,128.50,44.50,86.50,27,
47891,Julian Love,SS,NYG,47,0.031,33,9.7,182,-0.009,86,-2.9,40.00,134.00,87.00,28,
44854,Marcus Williams,FS,BAL,110,0.016,116,3.4,56,-0.015,67,-3.2,113.00,61.50,87.25,29,
47796,Christian Wilkins,DT,MIA,144,0.011,105,3.7,90,-0.013,19,-4.5,124.50,54.50,89.50,30,
43323,Jaylon Smith,MLB,NYG,69,0.025,107,3.7,59,-0.015,137,-2.3,88.00,98.00,93.00,31,
46088,Leighton Vander Esch,OLB,DAL,133,0.012,100,3.9,111,-0.012,22,-4.2,116.50,66.50,91.50,32,
46080,Minkah Fitzpatrick,FS,PIT,132,0.012,99,3.9,112,-0.012,29,-4,115.50,70.50,93.00,33,
48537,Carl Granderson,DE,NO,37,0.034,96,3.9,51,-0.015,195,-1.7,66.50,123.00,94.75,34,
43405,Hassan Ridgeway,DT,SF,70,0.025,119,3.2,42,-0.016,149,-2.1,94.50,95.50,95.00,35,
46077,Roquan Smith,ILB,CHI,21,0.043,11,16.3,234,-0.007,117,-2.5,16.00,175.50,95.75,36,
54582,Micheal Clemons,DE,NYJ,49,0.031,118,3.3,31,-0.016,192,-1.7,83.50,111.50,97.50,37,
46085,Tremaine Edmunds,ILB,BUF,28,0.038,25,11.2,217,-0.008,134,-2.3,26.50,175.50,101.00,38,
53532,Ernest Jones,ILB,LA,36,0.035,39,8.9,174,-0.009,138,-2.2,37.50,156.00,96.75,39,
52497,Cameron Dantzler,CB,MIN,116,0.015,72,5.1,154,-0.01,58,-3.3,94.00,106.00,100.00,40,
46139,Fred Warner,ILB,SF,155,0.009,135,2.6,92,-0.013,28,-4,145.00,60.00,102.50,41,
52619,Isaiah Rodgers,CB,IND,71,0.025,109,3.7,81,-0.013,156,-2,90.00,118.50,104.25,42,
37104,Cameron Heyward,DT,PIT,131,0.012,117,3.3,117,-0.012,64,-3.3,124.00,90.50,107.25,43,
42116,Adrian Phillips,SS,NE,167,0.007,149,2,74,-0.014,35,-3.9,158.00,54.50,106.25,44,
41243,C.J. Mosley,ILB,NYJ,30,0.037,13,15.3,259,-0.006,130,-2.3,21.50,194.50,108.00,45,
44957,Grover Stewart,DT,IND,54,0.028,43,8.1,219,-0.008,123,-2.4,48.50,171.00,109.75,46,
47848,Zach Allen,DE,ARI,186,0.005,165,1.6,67,-0.014,13,-5,175.50,40.00,107.75,47,
48259,Darius Harris,ILB,KC,62,0.027,89,4.3,107,-0.012,178,-1.8,75.50,142.50,109.00,48,
54478,Jordan Davis,DT,PHI,93,0.019,146,2.2,33,-0.016,167,-1.9,119.50,100.00,109.75,49,
37724,Chris Harris,CB,NO,153,0.009,184,1.2,4,-0.021,95,-2.9,168.50,49.50,109.00,50,
42349,Leonard Williams,DT,NYG,168,0.007,186,1.2,19,-0.018,70,-3.2,177.00,44.50,110.75,51,
43533,Jayron Kearse,FS,DAL,94,0.018,102,3.8,137,-0.011,136,-2.3,98.00,136.50,117.25,52,
35466,Devin McCourty,FS,NE,130,0.012,90,4.3,194,-0.009,65,-3.3,110.00,129.50,119.75,53,
46259,DeShon Elliott,FS,DET,31,0.037,21,11.6,249,-0.006,164,-1.9,26.00,206.50,116.25,54,
44887,Duke Riley,ILB,MIA,15,0.047,59,6.1,164,-0.01,252,-1.3,37.00,208.00,122.50,55,
37308,Lawrence Guy,DT,NE,182,0.005,203,0.7,10,-0.02,73,-3.1,192.50,41.50,117.00,56,
46138,B.J. Hill,DT,CIN,215,0.002,209,0.6,54,-0.015,18,-4.7,212.00,36.00,124.00,57,
52475,Julian Okwara,OLB,DET,105,0.017,171,1.6,24,-0.017,202,-1.6,138.00,113.00,125.50,58,
42436,Henry Anderson,DE,CAR,100,0.017,170,1.6,44,-0.016,207,-1.6,135.00,125.50,130.25,59,
52481,Davon Hamilton,DT,JAX,97,0.018,88,4.4,178,-0.009,150,-2.1,92.50,164.00,128.25,60,
44991,Davon Godchaux,NT,NE,162,0.008,153,1.9,114,-0.012,84,-3,157.50,99.00,128.25,61,
44827,Malik Hooker,FS,DAL,125,0.013,104,3.7,189,-0.009,110,-2.6,114.50,149.50,132.00,62,
47877,Jamel Dean,CB,TB,227,0.001,211,0.6,87,-0.013,6,-5.5,219.00,46.50,132.75,63,
47931,Dre Greenlaw,ILB,SF,114,0.016,95,4,180,-0.009,139,-2.2,104.50,159.50,132.00,64,
47844,Taylor Rapp,FS,LA,104,0.017,78,4.8,211,-0.008,140,-2.2,91.00,175.50,133.25,65,
43316,Kenny Clark,NT,GB,224,0.001,217,0.5,72,-0.014,23,-4.2,220.50,47.50,134.00,66,
42816,Troy Hill,CB,LA,45,0.032,91,4.2,167,-0.01,255,-1.3,68.00,211.00,139.50,67,
45004,Xavier Woods,FS,CAR,194,0.004,159,1.8,162,-0.01,30,-4,176.50,96.00,136.25,68,
38559,Harrison Smith,SS,MIN,191,0.004,176,1.4,146,-0.011,41,-3.7,183.50,93.50,138.50,69,
40347,Mike Purcell,NT,DEN,124,0.013,140,2.4,143,-0.011,163,-2,132.00,153.00,142.50,70,
43296,DeForest Buckner,DT,IND,213,0.002,216,0.5,97,-0.013,39,-3.8,214.50,68.00,141.25,71,
38588,Lavonte David,ILB,TB,252,-0.003,287,-1.3,9,-0.02,1,-8.2,269.50,5.00,137.25,72,
52546,L'Jarius Sneed,CB,KC,76,0.022,46,7.7,269,-0.005,177,-1.8,61.00,223.00,142.00,73,
43426,Dean Lowry,DE,GB,201,0.003,204,0.7,95,-0.013,78,-3.1,202.50,86.50,144.50,74,
53592,Darrick Forrest,SS,WAS,160,0.009,142,2.3,150,-0.01,111,-2.5,151.00,130.50,140.75,75,
54468,Derek Stingley,CB,HOU,166,0.008,128,3,202,-0.008,74,-3.1,147.00,138.00,142.50,76,86.05947955
53467,Christian Barmore,DT,NE,181,0.006,201,0.8,34,-0.016,155,-2,191.00,94.50,142.75,77,
35562,Al Woods,NT,SEA,88,0.019,124,3,169,-0.01,228,-1.5,106.00,198.50,152.25,78,
42401,Markus Golden,OLB,ARI,200,0.003,195,0.9,142,-0.011,69,-3.2,197.50,105.50,151.50,79,
41239,Aaron Donald,DT,LA,238,-0.001,242,-0.3,99,-0.013,26,-4.1,240.00,62.50,151.25,80,
43294,Jalen Ramsey,CB,LA,222,0.001,215,0.5,140,-0.011,34,-3.9,218.50,87.00,152.75,81,
54671,Matt Henningsen,DE,DEN,219,0.002,228,0.2,3,-0.022,146,-2.1,223.50,74.50,149.00,82,
46099,Mike Hughes,CB,DET,185,0.005,193,1,93,-0.013,141,-2.2,189.00,117.00,153.00,83,
54500,Roger McCreary,CB,TEN,118,0.015,69,5.5,263,-0.005,153,-2,93.50,208.00,150.75,84,
43338,Jarran Reed,DT,GB,154,0.009,141,2.4,190,-0.009,143,-2.2,147.50,166.50,157.00,85,
43373,Kendall Fuller,CB,WAS,262,-0.004,298,-1.5,57,-0.015,7,-5.5,280.00,32.00,156.00,86,
43757,Andrew Adams,SS,TEN,80,0.021,108,3.7,220,-0.008,234,-1.4,94.00,227.00,160.50,87,
45571,Michael Davis,CB,LAC,72,0.024,87,4.4,235,-0.007,251,-1.3,79.50,243.00,161.25,88,
45038,Isaac Rochell,DE,CLE,95,0.018,156,1.8,113,-0.012,269,-1.1,125.50,191.00,158.25,89,
54469,Ahmad Gardner,CB,NYJ,211,0.003,179,1.4,201,-0.008,48,-3.5,195.00,124.50,159.75,90,
43298,Leonard Floyd,DE,LA,239,-0.001,243,-0.3,115,-0.012,47,-3.6,241.00,81.00,161.00,91,
43325,Myles Jack,ILB,PIT,65,0.026,40,8.7,310,-0.004,235,-1.4,52.50,272.50,162.50,92,
52452,Grant Delpit,SS,CLE,188,0.005,154,1.9,207,-0.008,98,-2.8,171.00,152.50,161.75,93,
46151,Tracy Walker,FS,DET,7,0.068,56,6.4,251,-0.006,335,-0.5,31.50,293.00,162.25,94,
52571,Kindle Vildor,CB,CHI,235,0,238,-0.1,123,-0.011,53,-3.5,236.50,88.00,162.25,95,
